pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level
108	106	Guinea	40700	Boke	1574	Koundara	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41487	8	2013	6500	WFP	12	Koundara	ADM2
109	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41609	12	2013	1500	WFP	12	Koundara	ADM2
110	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41579	11	2013	2000	WFP	12	Koundara	ADM2
111	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41518	9	2013	2000	WFP	12	Koundara	ADM2
112	106	Guinea	40700	Boke	1574	Koundara	185	Salt	54	GNF	15	Retail	5	KG	41487	8	2013	2000	WFP	12	Koundara	ADM2
113	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41609	12	2013	7000	WFP	12	Koundara	ADM2
114	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41579	11	2013	7000	WFP	12	Koundara	ADM2
115	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41518	9	2013	7000	WFP	12	Koundara	ADM2
116	106	Guinea	40700	Boke	1574	Koundara	97	Sugar	54	GNF	15	Retail	5	KG	41487	8	2013	7000	WFP	12	Koundara	ADM2
117	106	Guinea	40700	Boke	1574	Koundara	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	33	Unit	41609	12	2013	5000	WFP	12	Koundara	ADM2
118	106	Guinea	40700	Boke	1574	Koundara	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	33	Unit	41518	9	2013	5000	WFP	12	Koundara	ADM2
119	106	Guinea	40700	Boke	1574	Koundara	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	33	Unit	41487	8	2013	5000	WFP	12	Koundara	ADM2
120	106	Guinea	40701	Conakry	356	Concasseur	55	Bread	54	GNF	15	Retail	33	Unit	40969	3	2012	2500	WFP	0		
121	106	Guinea	40701	Conakry	356	Concasseur	63	Gari	54	GNF	15	Retail	5	KG	40969	3	2012	6000	WFP	0		
122	106	Guinea	40701	Conakry	356	Concasseur	109	Meat	54	GNF	15	Retail	5	KG	40969	3	2012	25000	WFP	0		
123	106	Guinea	40701	Conakry	356	Concasseur	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	40969	3	2012	6500	WFP	0		
124	106	Guinea	40701	Conakry	356	Concasseur	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	40544	1	2011	14000	WFP	0		
125	106	Guinea	40701	Conakry	356	Concasseur	96	"Oil (Vegetable)"	54	GNF	15	Retail	15	L	40544	1	2011	13000	WFP	0		
126	106	Guinea	40701	Conakry	356	Concasseur	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	40969	3	2012	5000	WFP	0		
127	106	Guinea	40701	Conakry	356	Concasseur	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	40969	3	2012	6250	WFP	0		
128	106	Guinea	40701	Conakry	356	Concasseur	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	40544	1	2011	6500	WFP	0		
129	106	Guinea	40701	Conakry	356	Concasseur	185	Salt	54	GNF	15	Retail	5	KG	40969	3	2012	3500	WFP	0		
130	106	Guinea	40701	Conakry	356	Concasseur	97	Sugar	54	GNF	15	Retail	5	KG	40969	3	2012	8500	WFP	0		
131	106	Guinea	40701	Conakry	356	Concasseur	97	Sugar	54	GNF	15	Retail	5	KG	40544	1	2011	12000	WFP	0		
132	106	Guinea	40701	Conakry	356	Concasseur	114	Tomatoes	54	GNF	15	Retail	33	Unit	40969	3	2012	1000	WFP	0		
133	106	Guinea	40701	Conakry	356	Concasseur	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	33	Unit	40969	3	2012	1500	WFP	0		
134	106	Guinea	40701	Conakry	1571	Madina	50	Beans	54	GNF	15	Retail	5	KG	41640	1	2014	10000	WFP	3604	Madina	PPL
135	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41640	1	2014	2500	WFP	3604	Madina	PPL
136	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41518	9	2013	3000	WFP	3604	Madina	PPL
137	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41487	8	2013	3000	WFP	3604	Madina	PPL
138	106	Guinea	40701	Conakry	1571	Madina	55	Bread	54	GNF	15	Retail	33	Unit	41456	7	2013	3000	WFP	3604	Madina	PPL
139	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41640	1	2014	30000	WFP	3604	Madina	PPL
140	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41518	9	2013	32000	WFP	3604	Madina	PPL
141	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41487	8	2013	32000	WFP	3604	Madina	PPL
142	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41456	7	2013	32000	WFP	3604	Madina	PPL
143	106	Guinea	40701	Conakry	1571	Madina	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41640	1	2014	10000	WFP	3604	Madina	PPL
144	106	Guinea	40701	Conakry	1571	Madina	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41609	12	2013	12000	Gov	3604	Madina	PPL
145	106	Guinea	40701	Conakry	1571	Madina	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41518	9	2013	11000	WFP	3604	Madina	PPL
146	106	Guinea	40701	Conakry	1571	Madina	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41487	8	2013	11000	WFP	3604	Madina	PPL
147	106	Guinea	40701	Conakry	1571	Madina	83	Potatoes	54	GNF	15	Retail	5	KG	41609	12	2013	6000	Gov	3604	Madina	PPL
148	106	Guinea	40701	Conakry	1571	Madina	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41640	1	2014	5000	WFP	3604	Madina	PPL
149	106	Guinea	40701	Conakry	1571	Madina	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41609	12	2013	4000	Gov	3604	Madina	PPL
150	106	Guinea	40701	Conakry	1571	Madina	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41518	9	2013	6000	WFP	3604	Madina	PPL
151	106	Guinea	40701	Conakry	1571	Madina	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41487	8	2013	6000	WFP	3604	Madina	PPL
152	106	Guinea	40701	Conakry	1571	Madina	64	"Rice (Imported)"	54	GNF	15	Retail	5	KG	41456	7	2013	5500	WFP	3604	Madina	PPL
153	106	Guinea	40701	Conakry	1571	Madina	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41640	1	2014	5500	WFP	3604	Madina	PPL
154	106	Guinea	40701	Conakry	1571	Madina	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41609	12	2013	6000	Gov	3604	Madina	PPL
155	106	Guinea	40701	Conakry	1571	Madina	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41518	9	2013	7000	WFP	3604	Madina	PPL
156	106	Guinea	40701	Conakry	1571	Madina	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41487	8	2013	7000	WFP	3604	Madina	PPL
157	106	Guinea	40701	Conakry	1571	Madina	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41456	7	2013	6500	WFP	3604	Madina	PPL
158	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41640	1	2014	1500	WFP	3604	Madina	PPL
159	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41518	9	2013	2500	WFP	3604	Madina	PPL
160	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41487	8	2013	2500	WFP	3604	Madina	PPL
161	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41456	7	2013	2500	WFP	3604	Madina	PPL
162	106	Guinea	40701	Conakry	1571	Madina	97	Sugar	54	GNF	15	Retail	5	KG	41640	1	2014	7000	WFP	3604	Madina	PPL
163	106	Guinea	40701	Conakry	1571	Madina	97	Sugar	54	GNF	15	Retail	5	KG	41518	9	2013	7000	WFP	3604	Madina	PPL
164	106	Guinea	40701	Conakry	1571	Madina	97	Sugar	54	GNF	15	Retail	5	KG	41487	8	2013	7000	WFP	3604	Madina	PPL
165	106	Guinea	40701	Conakry	1571	Madina	97	Sugar	54	GNF	15	Retail	5	KG	41456	7	2013	7000	WFP	3604	Madina	PPL
166	106	Guinea	40701	Conakry	1571	Madina	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	33	Unit	41640	1	2014	5000	WFP	3604	Madina	PPL
167	106	Guinea	40701	Conakry	1571	Madina	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	33	Unit	41518	9	2013	2000	WFP	3604	Madina	PPL
168	106	Guinea	40701	Conakry	1571	Madina	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	33	Unit	41487	8	2013	2000	WFP	3604	Madina	PPL
169	106	Guinea	40701	Conakry	355	"Yimbaya marché"	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41395	5	2013	11000	WFP	0		
170	106	Guinea	40701	Conakry	355	"Yimbaya marché"	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41365	4	2013	11000	WFP	0		
171	106	Guinea	40701	Conakry	355	"Yimbaya marché"	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41334	3	2013	10500	WFP	0		
172	106	Guinea	40701	Conakry	355	"Yimbaya marché"	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41306	2	2013	10000	WFP	0		
173	106	Guinea	40701	Conakry	355	"Yimbaya marché"	62	"Oil (Palm)"	54	GNF	15	Retail	15	L	41275	1	2013	11000	WFP	0		
174	106	Guinea	40701	Conakry	355	"Yimbaya marché"	71	"Rice (Local)"	54	GNF	15	Retail	5	KG	41395	5	2013	6500	WFP	0		
